CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.016346273943781853)" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.019113931804895401)" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.033117629587650299)" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.052344750612974167)" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.072787880897521973)" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.049307003617286682)" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.058728713542222977)" 
0, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.09337761253118515" 
0, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.036730833351612091" 
0, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.040865685790777206" 
0, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.047784827649593353" 
0, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.082794070243835449" 
0, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.13086187839508057" 
0, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.18196970224380493" 
0, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.12326750904321671" 
0, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.14682178199291229" 
0, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.03735104575753212" 
0, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.014692332595586777" 
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.016346273943781853" 
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.019113931804895401" 
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.033117629587650299" 
0, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.052344750612974167" 
0, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.072787880897521973" 
0, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.049307003617286682" 
0, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18)))))))))+0.058728713542222977" 
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.09079*((1.+(0.180764*x))/(1.+(0.216797*x)))" 
