
Attaching file /nfs/user/pmastra/DeepTau2p5/TauOfficial/nano/UL2018/DYJetsToLL_M-50-madgraphMLM/nano_0_skim_0.root as _file0...
Collection name='TObjArray', class='TObjArray', size=368
 OBJ: TLeafF	L1PreFiringWeight_ECAL_Nom	L1PreFiringWeight_ECAL_Nom
 OBJ: TLeafF	L1PreFiringWeight_ECAL_Up	L1PreFiringWeight_ECAL_Up
 OBJ: TLeafF	L1PreFiringWeight_Muon_Nom	L1PreFiringWeight_Muon_Nom
 OBJ: TLeafF	L1PreFiringWeight_Muon_StatDn	L1PreFiringWeight_Muon_StatDn
 OBJ: TLeafF	L1PreFiringWeight_Muon_StatUp	L1PreFiringWeight_Muon_StatUp
 OBJ: TLeafF	L1PreFiringWeight_Muon_SystDn	L1PreFiringWeight_Muon_SystDn
 OBJ: TLeafF	L1PreFiringWeight_Muon_SystUp	L1PreFiringWeight_Muon_SystUp
 OBJ: TLeafF	L1PreFiringWeight_Nom	L1PreFiringWeight_Nom
 OBJ: TLeafF	L1PreFiringWeight_Up	L1PreFiringWeight_Up
 OBJ: TLeafF	LHEPdfWeight	LHEPdfWeight[nLHEPdfWeight]
 OBJ: TLeafF	LHEReweightingWeight	LHEReweightingWeight[nLHEReweightingWeight]
 OBJ: TLeafF	LHEScaleWeight	LHEScaleWeight[nLHEScaleWeight]
 OBJ: TLeafF	LHEWeight_originalXWGTUP	LHEWeight_originalXWGTUP
 OBJ: TLeafF	LHE_AlphaS	LHE_AlphaS
 OBJ: TLeafF	LHE_HTIncoming	LHE_HTIncoming
 OBJ: TLeafF	LHE_HT	LHE_HT
 OBJ: TLeafF	LHE_Vpt	LHE_Vpt
 OBJ: TLeafF	MET_MetUnclustEnUpDeltaX	MET_MetUnclustEnUpDeltaX
 OBJ: TLeafF	MET_MetUnclustEnUpDeltaY	MET_MetUnclustEnUpDeltaY
 OBJ: TLeafF	MET_covXX	MET_covXX
 OBJ: TLeafF	MET_covXY	MET_covXY
 OBJ: TLeafF	MET_covYY	MET_covYY
 OBJ: TLeafF	MET_fiducialGenPhi	MET_fiducialGenPhi
 OBJ: TLeafF	MET_fiducialGenPt	MET_fiducialGenPt
 OBJ: TLeafF	MET_phi	MET_phi
 OBJ: TLeafF	MET_pt	MET_pt
 OBJ: TLeafF	MET_significance	MET_significance
 OBJ: TLeafF	MET_sumEt	MET_sumEt
 OBJ: TLeafF	MET_sumPtUnclustered	MET_sumPtUnclustered
 OBJ: TLeafF	Muon_dxy	Muon_dxy[nMuon]
 OBJ: TLeafF	Muon_dz	Muon_dz[nMuon]
 OBJ: TLeafF	Muon_eta	Muon_eta[nMuon]
 OBJ: TLeafF	Muon_mass	Muon_mass[nMuon]
 OBJ: TLeafF	Muon_pfRelIso03_all	Muon_pfRelIso03_all[nMuon]
 OBJ: TLeafF	Muon_pfRelIso03_chg	Muon_pfRelIso03_chg[nMuon]
 OBJ: TLeafF	Muon_pfRelIso04_all	Muon_pfRelIso04_all[nMuon]
 OBJ: TLeafF	Muon_phi	Muon_phi[nMuon]
 OBJ: TLeafF	Muon_ptErr	Muon_ptErr[nMuon]
 OBJ: TLeafF	Muon_pt	Muon_pt[nMuon]
 OBJ: TLeafF	Muon_tunepRelPt	Muon_tunepRelPt[nMuon]
 OBJ: TLeafF	OtherPV_score	OtherPV_score[nOtherPV]
 OBJ: TLeafF	OtherPV_z	OtherPV_z[nOtherPV]
 OBJ: TLeafF	PSWeight	PSWeight[nPSWeight]
 OBJ: TLeafF	PV_chi2	PV_chi2
 OBJ: TLeafF	PV_ndof	PV_ndof
